,bioprocess_count,genes_related
receptor clustering,4,"['TNFRSF1A', 'INS', 'AKT1', 'EGFR']"
DNA-Protein Interaction,4,"['SLPI', 'FOS', 'SOD1', 'AR']"
Lymphocyte chemotaxis,4,"['TNF', 'TLR4', 'PIK3CA', 'CCK']"
eicosanoid metabolism,4,"['TNF', 'TNF', 'MUC7', 'MCOLN1']"
biological control,4,"['TNF', 'LEP', 'TP53', 'BBS9']"
estrogen biosynthetic process,4,"['TNF', 'LEP', 'AR', 'AR']"
Triglyceride Metabolism,4,"['TNF', 'LEP', 'INS', 'SST']"
Increased Cytokine Production [PE],4,"['TNF', 'TNF', 'CD4', 'CD40']"
Thymic T-Cell Selection,4,"['TNF', 'CA2', 'CD4', 'SST']"
L-arginine transport,4,"['TNF', 'TNF', 'INS', 'AHR']"
Attention,4,"['TNF', 'LEP', 'REN', 'VEGFA']"
Persistence,4,"['TNF', 'IL2', 'TP53', 'CD4']"
xenobiotic-transporting ATPase activity,4,"['TNF', 'TNF', 'CA2', 'ABCB1']"
Megakaryocyte Differentiation,4,"['TNF', 'TP53', 'MAPK1', 'CCND1']"
interleukin-1 beta secretion,4,"['TNF', 'IL1B', 'FOS', 'PPARA']"
Isoprenylation,4,"['ERVK-10', 'AKT1', 'WDTC1', 'RHO']"
Molting,4,"['ERVK-10', 'MPO', 'ALB', 'CISH']"
Chromosome Segregation,4,"['ERVK-10', 'PRTN3', 'EGFR', 'TP53']"
IgG binding,4,"['ERVK-10', 'CD4', 'MUC7', 'MCOLN1']"
laccase activity,4,"['ERVK-10', 'CAT', 'MUC7', 'MCOLN1']"
Protein Carbonylation,4,"['ERVK-10', 'CAT', 'CAT', 'GRK2']"
trypsin activity,4,"['ERVK-10', 'CA2', 'SPINK1', 'REN']"
Blood Physiological Phenomena,4,"['CA2', 'VEGFA', 'MUC7', 'MCOLN1']"
Neurosecretion,4,"['CA2', 'POMC', 'HGS', 'CCK']"
photolysis,4,"['CA2', 'MUC7', 'MCOLN1', 'GC']"
Glomerular filtration,4,"['CA2', 'IFNA1', 'PTH', 'REN']"
lectin activity,4,"['CA2', 'CD4', 'MUC7', 'MCOLN1']"
cell adhesion molecule binding,4,"['CA2', 'CA2', 'CA2', 'ALB']"
myosin phosphatase activity,4,"['CA2', 'CA2', 'CXCL8', 'RHO']"
phosphorylase kinase activity,4,"['CA2', 'WDTC1', 'MUC7', 'MCOLN1']"
egg activation,4,"['CA2', 'CA2', 'EGFR', 'MAPK8']"
cation binding,4,"['CA2', 'MUC7', 'MCOLN1', 'SOD2']"
flocculation,4,"['CA2', 'FAS', 'SOD1', 'GC']"
Photophosphorylation,4,"['CA2', 'WDTC1', 'MUC7', 'MCOLN1']"
Uniport,4,"['CA2', 'CA2', 'MUC7', 'MCOLN1']"
phosphoric monoester hydrolase activity,4,"['CA2', 'INS', 'MUC7', 'MCOLN1']"
anion transport,4,"['CA2', 'SLC26A3', 'CISH', 'GPI']"
low-density lipoprotein particle binding,4,"['CA2', 'INS', 'APOB', 'APOB']"
phospholipase activity,4,"['CA2', 'FOS', 'MMP9', 'WDTC1']"
Molecular Dynamics,4,"['CXCL8', 'AKT1', 'ESR1', 'MMP2']"
Sexual Maturation,4,"['LEP', 'LEP', 'LEP', 'FOS']"
"Intake Regulation, Food",4,"['LEP', 'INS', 'FOS', 'CCK']"
Basal metabolic rate,4,"['LEP', 'LEP', 'FAS', 'TH']"
hypothalamic pituitary axis,4,"['LEP', 'INS', 'INS', 'POMC']"
sleep wake cycle,4,"['LEP', 'FOS', 'SST', 'GRK2']"
brain metabolism,4,"['INS', 'POMC', 'GRK2', 'CYP2E1']"
Primordium,4,"['INS', 'AKT1', 'CD4', 'MMP2']"
insulin receptor activity,4,"['INS', 'INS', 'INS', 'WDTC1']"
cold acclimation,4,"['INS', 'CAT', 'HSPA4', 'G6PD']"
T cell selection,4,"['INS', 'FAS', 'FAS', 'CD4']"
pancreas development,4,"['INS', 'SCT', 'MTOR', 'SST']"
organ growth,4,"['INS', 'INS', 'AKT1', 'SCT']"
[phosphorylase] phosphatase activity,4,"['INS', 'WDTC1', 'MUC7', 'MCOLN1']"
Sexual function,4,"['INS', 'MAPK1', 'POMC', 'GRK2']"
Genetic Selection,4,"['FAS', 'TH', 'FOS', 'AR']"
glutathione S-transferase activity,4,"['CAT', 'CAT', 'CAT', 'GSR']"
photorespiration,4,"['CAT', 'CAT', 'GPI', 'PSMB6']"
Peroxisome Proliferation,4,"['CAT', 'HSPA4', 'PPARA', 'PPARA']"
alcohol metabolism,4,"['CAT', 'ALB', 'MAPK1', 'CYP2E1']"
Lactation,4,"['IFNA1', 'AKT1', 'TH', 'FOS']"
Cross-Priming,4,"['IFNA1', 'IFNA1', 'HSPA4', 'ITGAM']"
renal tubular reabsorption,4,"['PTH', 'TH', 'SOD1', 'GRK2']"
collagen binding,4,"['GSN', 'SMAD3', 'WDTC1', 'MMP2']"
Mitotic Metaphase,4,"['DNASE1', 'HSPA4', 'TP53', 'GPI']"
rRNA processing,4,"['CD8A', 'AKT1', 'TP53', 'CISH']"
Silent Mutation,4,"['CD8A', 'MAL', 'TP53', 'ABCB1']"
Gene Conversion,4,"['AKT1', 'CISH', 'GC', 'PSMB6']"
1-phosphatidylinositol-4-phosphate 5-kinase activity,4,"['AKT1', 'AKT1', 'RHO', 'RHO']"
cell morphogenesis,4,"['AKT1', 'MAPK1', 'MAPK8', 'RHO']"
tumor suppressor activity,4,"['AKT1', 'TP53', 'TP53', 'TP53']"
Cell Fate Control,4,"['AKT1', 'TP53', 'MAPK1', 'STAT3']"
Nerve Cell Survival,4,"['AKT1', 'VEGFA', 'MAPK1', 'HGS']"
mRNA Export,4,"['AKT1', 'TP53', 'PIK3CA', 'CCND1']"
Non-Homologous DNA End-Joining,4,"['AKT1', 'EGFR', 'AR', 'PTEN']"
cell fate determination,4,"['AKT1', 'VEGFA', 'TP53', 'PTEN']"
mating behavior,4,"['SLURP1', 'TH', 'FOS', 'ESR1']"
Replication Initiation,4,"['SLURP1', 'CISH', 'PIK3CA', 'GPI']"
Gastric mucosal blood flow,4,"['SCT', 'SOD1', 'SST', 'SST']"
Cell Differentiation process,4,"['AHSA1', 'EGFR', 'MAPK1', 'CRK']"
natural killer cell differentiation,4,"['AHSA1', 'IL2', 'MAPK1', 'CRK']"
Antibacterial Response,4,"['AHSA1', 'MAPK1', 'MAPK8', 'CRK']"
cell wall biogenesis,4,"['MPO', 'SOD1', 'CISH', 'GPI']"
Allograft Tolerance,4,"['IL2', 'CD4', 'CD4', 'ITGAM']"
Antimicrobial Effect,4,"['IL2', 'POMC', 'MUC7', 'MCOLN1']"
Cell Enlargement,4,"['IL2', 'TP53', 'MAPK8', 'PTEN']"
Notch binding,4,"['EGFR', 'EGF', 'PSMB6', 'KIT']"
cell fate specification,4,"['EGFR', 'HSPA4', 'TP53', 'EGF']"
triglyceride biosynthetic process,4,"['PPARG', 'ANXA5', 'APOB', 'APOB']"
cholinesterase activity,4,"['ALB', 'POMC', 'GSR', 'GRK2']"
steroid binding,4,"['HSPA4', 'AR', 'ESR1', 'RELA']"
thioredoxin activity,4,"['HSPA4', 'VEGFA', 'BAX', 'GSR']"
"Binding, Competitive",4,"['VEGFA', 'MUC7', 'MCOLN1', 'CD44']"
Blood-Retinal Barrier,4,"['VEGFA', 'VEGFA', 'MMP9', 'CD44']"
kidney physiology,4,"['VEGFA', 'WDTC1', 'EGF', 'CRK']"
interleukin-9 receptor activity,4,"['VEGFA', 'MMP9', 'STAT3', 'CRK']"
estrogen receptor signaling pathway,4,"['VEGFA', 'CDKN1A', 'CCND1', 'TCEAL1']"
Chewing,4,"['TP53', 'BAX', 'CCK', 'GRK2']"
Oxidative Stress Pathway,4,"['TP53', 'FOS', 'SOD1', 'PIK3CA']"
Monoubiquitination,4,"['TP53', 'TP53', 'MAPK8', 'PTEN']"
Rotational Behavior,4,"['FOS', 'FOS', 'FOS', 'POMC']"
lateral inhibition,4,"['FOS', 'GRK2', 'GRK2', 'PSMB6']"
Ejaculation,4,"['FOS', 'CCK', 'CCK', 'GRK2']"
copper homeostasis,4,"['SOD1', 'WDTC1', 'CP', 'ITGAM']"
starch biosynthetic process,4,"['SOD1', 'WDTC1', 'WDTC1', 'WDTC1']"
Induction of Cell Senescence,4,"['CDKN1A', 'CDKN1A', 'TCEAL1', 'PGR']"
vitamin D receptor binding,4,"['CDKN1A', 'RELA', 'RELA', 'TCEAL1']"
"ribulose-1,5-bisphosphate carboxylase/oxygenase activase activity",4,"['WDTC1', 'WDTC1', 'CISH', 'CISH']"
paclitaxel metabolic process,4,"['CYP3A4', 'CYP3A4', 'ABCB1', 'PPIG']"
Speech,4,"['CISH', 'GRK2', 'SLC17A5', 'IFNG']"
cis trans isomerization,4,"['CISH', 'CISH', 'RHO', 'RHO']"
drug transport,4,"['CISH', 'ABCB1', 'ABCB1', 'ABCB1']"
thienylcyclohexylpiperidine binding,4,"['MUC7', 'MUC7', 'MCOLN1', 'MCOLN1']"
Gallbladder Emptying,4,"['SST', 'SST', 'CCK', 'CCK']"
Gallbladder function,3,"['CFTR', 'GPI', 'CCK']"
epithelial fluid transport,3,"['CFTR', 'CFTR', 'TGFB1']"
bicarbonate transport,3,"['CFTR', 'PTH', 'PTH']"
chloride transport,3,"['CFTR', 'CFTR', 'CAMP']"
gene interaction,3,"['CFTR', 'LEP', 'TP53']"
actin filament organization,3,"['CFTR', 'INS', 'GSN']"
Dentinogenesis,3,"['TGFB1', 'PTH', 'EGF']"
Osseointegration,3,"['TGFB1', 'PTH', 'VEGFA']"
Bladder function,3,"['TGFB1', 'VEGFA', 'KIT']"
SMAD binding,3,"['TGFB1', 'SMAD3', 'ESR1']"
scavenger receptor activity,3,"['TGFB1', 'TGFB1', 'TNF']"
mesoderm formation,3,"['TGFB1', 'AKT1', 'SMAD3']"
salivary gland development,3,"['TGFB1', 'TGFB1', 'EGFR']"
metanephros development,3,"['TGFB1', 'TP53', 'MMP2']"
Protein Prenylation,3,"['TGFB1', 'RHO', 'CCND1']"
Epithelialization,3,"['TGFB1', 'VEGFA', 'EGF']"
avoidance,3,"['TGFB1', 'CYP3A4', 'GRK2']"
aminopeptidase activity,3,"['TGFB1', 'INS', 'CP']"
elongation factor-2 kinase activity,3,"['TGFB1', 'CA2', 'CA2']"
late viral transcription,3,"['TGFB1', 'IFNA1', 'IFNA1']"
histone kinase activity,3,"['TGFB1', 'CAMP', 'PSMB6']"
dose-response relationship,3,"['TGFB1', 'INS', 'PIK3CA']"
microtubule binding,3,"['TGFB1', 'CA2', 'MAPK8']"
lysyl oxidase activity,3,"['TGFB1', 'TNF', 'AKT1']"
Smell Perception,3,"['CAMP', 'INS', 'GRK2']"
Platelet secretion,3,"['CAMP', 'CA2', 'AKT1']"
Microbial Interactions,3,"['CAMP', 'TIMP1', 'SOD1']"
axonal guidance,3,"['CAMP', 'FAS', 'RHO']"
Neuronal Hyperexcitability,3,"['CAMP', 'CA2', 'CRK']"
"Mechanotransduction, Cellular",3,"['CAMP', 'CAMP', 'ESR1']"
nuclease activity,3,"['CAMP', 'ERVK-10', 'WDTC1']"
N-methyl-D-aspartate selective glutamate receptor activity,3,"['CAMP', 'MUC7', 'MCOLN1']"
calcium channel activity,3,"['CAMP', 'CA2', 'G6PD']"
Phototaxis,3,"['CAMP', 'CA2', 'RHO']"
filamentous growth,3,"['CAMP', 'CAMP', 'MAPK1']"
Phosphatidylcholine Biosynthesis,3,"['CAMP', 'CAMP', 'CA2']"
organic cation transport,3,"['CAMP', 'GPI', 'ABCB1']"
Increased Insulin Secretion [PE],3,"['CAMP', 'CA2', 'INS']"
Negative Chronotropy [PE],3,"['CAMP', 'CA2', 'PRTN3']"
Positive Chronotropy [PE],3,"['CAMP', 'CA2', 'PTH']"
Hormone Receptor Interactions [MoA],3,"['CAMP', 'CAMP', 'CA2']"
GTP cyclohydrolase I activity,3,"['CAMP', 'TH', 'TH']"
Protein Kinase Interaction,3,"['CAMP', 'CA2', 'CA2']"
thymidine kinase activity,3,"['CAMP', 'TNF', 'SLC17A5']"
hyphal growth,3,"['CAMP', 'SOD1', 'PSMB6']"
leukotriene biosynthetic process,3,"['CAMP', 'CAT', 'SOD1']"
Memory performance,3,"['CAMP', 'LEP', 'BBS9']"
Conception,3,"['CAMP', 'REN', 'GRK2']"
Ventricular Function,3,"['ELANE', 'CAT', 'MMP2']"
Intracellular Signaling Process,3,"['ELANE', 'EGFR', 'PTS']"
microtubule severing,3,"['TNFRSF1A', 'TNFRSF1A', 'CA2']"
blood vessel development,3,"['SLPI', 'AKT1', 'VEGFA']"
Immunologic Memory,3,"['TNF', 'LEP', 'CD4']"
axonal sprouting,3,"['TNF', 'VEGFA', 'FOS']"
germ cell migration,3,"['TNF', 'AKT1', 'PTEN']"
zinc homeostasis,3,"['TNF', 'PTH', 'MCOLN1']"
apoptotic cell clearance,3,"['TNF', 'TNF', 'VEGFA']"
Blood-Testis Barrier,3,"['TNF', 'TIMP1', 'ALB']"
Protein Denaturation,3,"['TNF', 'HSPA4', 'HSPA4']"
alloimmunity,3,"['TNF', 'MAPK1', 'CD40']"
estimation <subjective>,3,"['TNF', 'G6PD', 'GRK2']"
glycerol-3-phosphate dehydrogenase activity,3,"['TNF', 'INS', 'ESR1']"
ubiquitin conjugating enzyme activity,3,"['TNF', 'TNF', 'CCK']"
proteoglycan biosynthetic process,3,"['TNF', 'CAT', 'PPARA']"
focal adhesion assembly,3,"['TNF', 'FAS', 'BBS9']"
platelet-derived growth factor binding,3,"['TNF', 'FOS', 'EGF']"
tube morphogenesis,3,"['TNF', 'AKT1', 'VEGFA']"
ubiquitin binding,3,"['DCTN4', 'DCTN4', 'TP53']"
"Keratinization, function",3,"['ERVK-10', 'CA2', 'MAPK8']"
Sperm-Ovum Interactions,3,"['ERVK-10', 'EGF', 'CD44']"
complement pathway,3,"['ERVK-10', 'C3', 'BCL2']"
obsolete nutrient import,3,"['ERVK-10', 'EGF', 'CCK']"
Covalent Interaction,3,"['ERVK-10', 'CA2', 'EGFR']"
Contrast Sensitivity,3,"['CA2', 'TH', 'CD40']"
Isometric Contraction,3,"['CA2', 'AKT1', 'GRK2']"
rapid eye movement,3,"['CA2', 'AKT1', 'PTEN']"
Light Adaptation,3,"['CA2', 'CISH', 'RHO']"
Spike Potentials,3,"['CA2', 'CA2', 'SCT']"
myristoylation,3,"['CA2', 'IFNA1', 'CISH']"
Phospholipid Binding,3,"['CA2', 'GPI', 'PTEN']"
cAMP binding,3,"['CA2', 'MUC7', 'MCOLN1']"
somatostatin receptor activity,3,"['CA2', 'MUC7', 'MCOLN1']"
glutaminase activity,3,"['CA2', 'EGFR', 'MAPK1']"
photosynthetic electron transport chain activity,3,"['CA2', 'SOD1', 'WDTC1']"
AMP metabolic process,3,"['CA2', 'PTH', 'WDTC1']"
Neurulation,3,"['CA2', 'INS', 'MTOR']"
pollen tube growth,3,"['CA2', 'AKT1', 'RHO']"
actin filament severing,3,"['CA2', 'GSN', 'GSN']"
myosin polymerization,3,"['CA2', 'MUC7', 'MCOLN1']"
recombinase activity,3,"['CA2', 'ESR1', 'CISH']"
amylase activity,3,"['CA2', 'BCL2', 'CCK']"
alpha-galactosidase activity,3,"['CA2', 'MUC7', 'MCOLN1']"
Mitotic Anaphase,3,"['CA2', 'CA2', 'PSMB6']"
"Memory, Short-Term",3,"['CA2', 'FOS', 'GRK2']"
palmitoyl-CoA hydrolase activity,3,"['CA2', 'MUC7', 'MCOLN1']"
cathepsin B activity,3,"['CA2', 'TP53', 'EGF']"
nitric oxide metabolic process,3,"['CA2', 'CAT', 'CP']"
serotonin secretion,3,"['CA2', 'CA2', 'WDTC1']"
toxicant interaction,3,"['CA2', 'BAX', 'SLC17A5']"
anti-toxin activity,3,"['CA2', 'MPO', 'EGF']"
neuropeptide hormone activity,3,"['CA2', 'RHO', 'G6PD']"
ATP regeneration,3,"['CA2', 'MUC7', 'MCOLN1']"
photosynthesis light reaction,3,"['CA2', 'MUC7', 'MCOLN1']"
Core Assembly,3,"['CA2', 'CDKN1A', 'TCEAL1']"
lyase activity,3,"['CXCL8', 'MUC7', 'MCOLN1']"
Deglutition,3,"['LEP', 'LEP', 'GRK2']"
Menarche,3,"['LEP', 'ESR1', 'CYP3A4']"
Estrous Cycle,3,"['LEP', 'POMC', 'ESR1']"
heme transport,3,"['LEP', 'INS', 'ABCB1']"
Plasma Metabolism [PK],3,"['LEP', 'INS', 'APOB']"
Satiation,3,"['LEP', 'INS', 'CCK']"
beta adrenoceptor activity,3,"['LEP', 'INS', 'PIK3CA']"
fatty acid beta-oxidation,3,"['LEP', 'FAS', 'PPARA']"
Ocular Physiological Phenomena,3,"['INS', 'VEGFA', 'POMC']"
renal tubular function,3,"['INS', 'INS', 'SST']"
adenosine 5-phosphotransferase activity,3,"['INS', 'MUC7', 'MCOLN1']"
pyruvate carboxylase activity,3,"['INS', 'GRK2', 'BBS9']"
Microtubule Polymerization Process,3,"['INS', 'AKT1', 'BCL2']"
L-arginine import,3,"['INS', 'CAT', 'CAT']"
Tumor Oxygenation,3,"['INS', 'VEGFA', 'MTOR']"
Antibody Affinity,3,"['INS', 'IFNA1', 'PTH']"
GTPase inhibitor activity,3,"['INS', 'STAT3', 'CCK']"
fatty acid transport,3,"['FAS', 'FAS', 'ALB']"
leukocyte homeostasis,3,"['FAS', 'IL6', 'CD4']"
Transplantation Tolerance,3,"['FAS', 'CD4', 'CD4']"
caspase-8 activity,3,"['FAS', 'TP53', 'BCL2']"
chemokine activity,3,"['CCL2', 'CXCR2', 'PTEN']"
"Chemotaxis, Leukocyte",3,"['CCL2', 'MPO', 'PIK3CA']"
heme binding,3,"['CAT', 'CAT', 'PPIG']"
hydrogen peroxide catabolic process,3,"['CAT', 'CAT', 'GSR']"
nitric oxide biosynthetic process,3,"['CAT', 'ALB', 'VEGFA']"
formate oxidation,3,"['CAT', 'CAT', 'G6PD']"
hydrogen peroxide biosynthetic process,3,"['CAT', 'CAT', 'MPO']"
Metastasis Suppression,3,"['SLC9A3R1', 'GSN', 'SOD2']"
viral transmission,3,"['IFNA1', 'ALB', 'CD4']"
deoxyribonucleotide biosynthetic process,3,"['IFNA1', 'CDKN1A', 'TCEAL1']"
DNA Integration,3,"['IFNA1', 'IFNA1', 'CISH']"
grasp,3,"['IFNA1', 'GRK2', 'GRK2']"
Phosphorylation Inhibition,3,"['IFNA1', 'AKT1', 'AKT1']"
Periosteal bone formation,3,"['PTH', 'PTH', 'AR']"
Cerebral function,3,"['PTH', 'IL6', 'AR']"
"Stimulation, Chemical",3,"['PTH', 'FOS', 'ACE']"
ubiquitin-activating enzyme activity,3,"['PTH', 'VEGFA', 'ESR1']"
Lung volume,3,"['SLC26A3', 'IL2', 'ALB']"
DNA Ligation,3,"['CD8A', 'CDKN1A', 'TCEAL1']"
vitamin A metabolism,3,"['CD8A', 'MAL', 'TTR']"
auxotrophy,3,"['CD8A', 'G6PD', 'BBS9']"
dna amplification,3,"['MUC4', 'EGFR', 'TP53']"
reception,3,"['AKT1', 'IL6', 'CD44']"
GDP binding,3,"['AKT1', 'MUC7', 'MCOLN1']"
beta-glucuronidase activity,3,"['AKT1', 'MPO', 'POMC']"
regulatory T cell differentiation,3,"['AKT1', 'IL6', 'STAT3']"
Cell budding,3,"['AKT1', 'VEGFA', 'MAPK8']"
Cell Proliferation Regulatory Process,3,"['AKT1', 'TP53', 'MAPK8']"
Lipid Binding,3,"['AKT1', 'TP53', 'APOB']"
Megakaryocytic maturation,3,"['AKT1', 'CDKN1A', 'TCEAL1']"
lipid phosphatase activity,3,"['AKT1', 'PTEN', 'PTEN']"
Estrogen Receptor Antagonists [MoA],3,"['AKT1', 'ESR1', 'ESR1']"
Genital functions,3,"['SLURP1', 'NR3C1', 'CISH']"
Meiotic Recombination,3,"['SLURP1', 'CISH', 'PSMB6']"
Biological Neural Networks,3,"['SCT', 'TH', 'MTOR']"
motor coordination,3,"['SCT', 'IL6', 'GRK2']"
polysaccharide biosynthetic process,3,"['TIMP1', 'VEGFA', 'WDTC1']"
lipoprotein oxidation,3,"['MPO', 'CP', 'CP']"
Nitrosation,3,"['MPO', 'CP', 'CD40']"
interleukin-24 receptor ligand,3,"['IL2', 'STAT3', 'IL10']"
RNA translation,3,"['IL2', 'TP53', 'CISH']"
motor performance,3,"['TTR', 'CCK', 'GRK2']"
Skin Aging,3,"['EGFR', 'MMP9', 'SOD2']"
Acute cellular rejection,3,"['EGFR', 'CD4', 'MMP2']"
DNA-methyltransferase activity,3,"['EGFR', 'TP53', 'AR']"
regulation of DNA-dependent DNA replication initiation,3,"['EGFR', 'CDKN1A', 'TCEAL1']"
Eye Development,3,"['EGFR', 'VEGFA', 'TP53']"
spontaneous mutation,3,"['EGFR', 'TP53', 'PTEN']"
oxidoreductase activity,3,"['IL6', 'PSMB6', 'PGR']"
visual stimulus,3,"['VEGFA', 'POMC', 'GRK2']"
Prenatal development,3,"['VEGFA', 'AR', 'SST']"
endothelial cell morphogenesis,3,"['VEGFA', 'MMP9', 'MMP2']"
Breeding,3,"['TP53', 'SOD1', 'APOB']"
Skin Pigmentation,3,"['TP53', 'POMC', 'KIT']"
thymidylate synthase activity,3,"['TP53', 'TP53', 'TP53']"
centrosome cycle,3,"['TP53', 'CDKN1A', 'TCEAL1']"
cell redox homeostasis,3,"['TP53', 'SOD1', 'G6PD']"
obsolete error-prone DNA repair,3,"['TP53', 'CDKN1A', 'TCEAL1']"
transformation of host cell by virus,3,"['TP53', 'FOS', 'CREBBP']"
urothelial cell proliferation,3,"['TP53', 'CCND1', 'PTEN']"
RNA Interference Pathway,3,"['TP53', 'MAPK8', 'PTEN']"
DNA unwinding during replication,3,"['TP53', 'MUC7', 'MCOLN1']"
Prometaphase,3,"['MAPK1', 'POMC', 'MAPK8']"
hormone metabolism,3,"['TH', 'AR', 'ESR1']"
neuron differentiation,3,"['TH', 'WDTC1', 'CD40']"
Proestrus,3,"['TH', 'ESR1', 'CCK']"
T Cell Receptor Signaling Pathway,3,"['CD4', 'CD4', 'MAPK8']"
Cellular Tropism,3,"['CD4', 'CD44', 'PTEN']"
receptor antagonist activity,3,"['FOS', 'GC', 'PGR']"
Signal Induction,3,"['FOS', 'FOS', 'STAT3']"
isomerase activity,3,"['POMC', 'AR', 'GPI']"
Tolerance development,3,"['MMP9', 'CISH', 'GRK2']"
androgen binding,3,"['AR', 'AR', 'AR']"
androgen receptor binding,3,"['AR', 'AR', 'AR']"
chromatin binding,3,"['AR', 'RELA', 'PGR']"
cyclin binding,3,"['CDKN1A', 'CCND1', 'TCEAL1']"
ribosome assembly,3,"['ESR1', 'MTOR', 'PSMB6']"
stringent response,3,"['RELA', 'RELA', 'RELA']"
neutrophil differentiation,3,"['STAT3', 'ITGAM', 'ITGAM']"
retinoic acid metabolism,3,"['IL10', 'PPARA', 'HIF1A']"
Oxygen affinity,3,"['WDTC1', 'CD40', 'CD40']"
Aminoacylation,3,"['WDTC1', 'MUC7', 'MCOLN1']"
acetyl-CoA carboxylase activity,3,"['MUC7', 'MCOLN1', 'HGS']"
Gastric mucosal barrier,3,"['GPI', 'CCK', 'ACE']"
ferroxidase activity,3,"['CP', 'CP', 'CP']"
negative regulation of TORC1 signaling,3,"['MTOR', 'MTOR', 'MTOR']"
nuclear division,3,"['RHO', 'GRK2', 'PPIG']"
drug elimination,3,"['ABCB1', 'PPIG', 'PPIG']"
Esophagus motility,3,"['HGS', 'SST', 'GRK2']"
Synaptic Potentials,3,"['SST', 'CCK', 'CCK']"
Hyaluronic Acid Binding,3,"['CD44', 'CD44', 'CD44']"
nicotine metabolism,3,"['PPIG', 'PPIG', 'PPIG']"
adenylate kinase activity,2,"['CFTR', 'WDTC1']"
Lung Compliance,2,"['CFTR', 'SCNN1B']"
hydrolase activity,2,"['CFTR', 'CA2']"
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",2,"['TGFB1', 'SOD1']"
proteoglycan metabolic process,2,"['TGFB1', 'TNF']"
neural crest cell migration,2,"['TGFB1', 'ERVK-10']"
Decreased Cytokine Production [PE],2,"['TGFB1', 'CD44']"
DNA Synthesis Inhibition,2,"['TGFB1', 'AKT1']"
Glial Cell Proliferation,2,"['TGFB1', 'CAMP']"
Positive Regulation of Mitosis,2,"['TGFB1', 'CA2']"
Skin growth,2,"['TGFB1', 'CD4']"
platelet-derived growth factor receptor signaling pathway,2,"['TGFB1', 'VEGFA']"
nucleoside transport,2,"['TGFB1', 'TNF']"
Immunoglobulin Class Switch Recombination,2,"['TGFB1', 'PTEN']"
myeloid dendritic cell differentiation,2,"['TGFB1', 'STAT3']"
Mullerian duct regression,2,"['TGFB1', 'MMP2']"
Metachromatic stain reaction,2,"['TGFB1', 'WDTC1']"
Dark Adaptation,2,"['CAMP', 'RHO']"
Motor Skills,2,"['CAMP', 'TH']"
Sodium hydrogen exchange,2,"['CAMP', 'GPI']"
physiological aging,2,"['CAMP', 'TP53']"
membrane assembly,2,"['CAMP', 'ELANE']"
Active Ion Transport,2,"['CAMP', 'PIK3CA']"
pyroglutamyl-peptidase II activity,2,"['CAMP', 'CAMP']"
histamine receptor activity,2,"['CAMP', 'CAMP']"
peptide hormone secretion,2,"['CAMP', 'CA2']"
cellular aromatic compound metabolic process,2,"['CAMP', 'CAMP']"
juvenile hormone biosynthetic process,2,"['CAMP', 'SLC17A5']"
taurine transport,2,"['CAMP', 'TNF']"
reproductive fruiting body development,2,"['CAMP', 'CAMP']"
norepinephrine secretion,2,"['CAMP', 'CA2']"
phospholipase C inhibition,2,"['CAMP', 'MAPK1']"
Adjuvanticity,2,"['CAMP', 'WDTC1']"
microtubule sliding,2,"['CAMP', 'CA2']"
glial cell migration,2,"['CAMP', 'MMP9']"
behavioral sensitization,2,"['CAMP', 'CCK']"
ecdysteroid secretion,2,"['CAMP', 'CA2']"
Negative Regulation of G2 Phase,2,"['CAMP', 'CRK']"
Pollination,2,"['CAMP', 'TNFRSF1A']"
Feelings,2,"['CAMP', 'CISH']"
Sperm Agglutination,2,"['CAMP', 'CD4']"
Increased Gluconeogenesis [PE],2,"['CAMP', 'CCND1']"
carnitine biosynthetic process,2,"['CAMP', 'PPARA']"
ecdysteroid biosynthetic process,2,"['CAMP', 'INS']"
pheromone biosynthetic process,2,"['CAMP', 'CA2']"
Increased Prostaglandin Production [PE],2,"['CAMP', 'PTH']"
norepinephrine biosynthetic process,2,"['ELANE', 'ELANE']"
norepinephrine metabolic process,2,"['ELANE', 'POMC']"
neutrophil homeostasis,2,"['ELANE', 'CXCR2']"
starch metabolic process,2,"['SCNN1G', 'WDTC1']"
Arterialisation,2,"['SLPI', 'VEGFA']"
plasmid partitioning,2,"['SLPI', 'CISH']"
Muscle property,2,"['TNF', 'TH']"
Cartilage resorption,2,"['TNF', 'FAS']"
Intestinal mucosal permeability,2,"['TNF', 'VEGFA']"
Muscle action,2,"['TNF', 'CAT']"
serotonin metabolism,2,"['TNF', 'GRK2']"
sterol metabolic process,2,"['TNF', 'IFNA1']"
NAD metabolic process,2,"['TNF', 'TLR4']"
interleukin-25 receptor binding,2,"['TNF', 'VEGFA']"
IkappaB kinase activity,2,"['TNF', 'RELA']"
fructose transport,2,"['TNF', 'CRK']"
apolipoprotein activity,2,"['TNF', 'MAPK8']"
neutrophilic,2,"['TNF', 'VEGFA']"
Bone Alteration [PE],2,"['TNF', 'ESR1']"
Intracellular Communication [PE],2,"['TNF', 'WDTC1']"
mRNA binding,2,"['TNF', 'PTH']"
interleukin-1 receptor antagonist activity,2,"['TNF', 'LEP']"
SOS Response (Genetics),2,"['ERVK-10', 'ERVK-10']"
steroid hormone metabolism,2,"['ERVK-10', 'CYP3A4']"
